id,nameKa,nameEn,descriptionKa,descriptionEn,categoryId,imageUrl,imageKey,isRose,isAvailable,featured,createdAt,updatedAt,priceMin,priceMax,priceOnRequest,unitType,variants,bloomsPerStemMin,bloomsPerStemMax,stemDisplayRule,published
540015,კლასიკა,Classic,50 ჰოლანდიური ვარდი,,180001,/manus-storage/products/img_8347_abae154f.webp,,0,1,0,2026-06-28 19:48:32,2026-07-16 16:14:35,500.00,500.00,0,single stem,[],1,1,,1
570001,ციტრუსი,Citrus,,,180001,/manus-storage/products/img_8348_de251992.webp,,0,1,1,2026-06-28 19:56:05,2026-07-16 16:14:44,150.00,150.00,0,single stem,[],1,1,,1
570002,🌅 მზის ჩასვლა,Sunset,,,180001,/manus-storage/products/img_8354_dc316300.webp,,0,1,0,2026-06-28 19:58:12,2026-07-26 09:56:02,650.00,650.00,0,single stem,[],1,1,,1
570003,უსასრულო სიყვარული ,Endless Love,80 ჰოლანდიური ვარდი,,180001,/manus-storage/products/img_8358_705554b0.webp,,0,1,0,2026-06-28 19:59:48,2026-07-16 16:15:05,800.00,800.00,0,single stem,[],1,1,,1
600001,ზაფხულის ცა ,Summer Sky,,,180001,/manus-storage/products/29ecd663-ea49-47f5-b048-1f5b8b8fb803_91fcd85f.webp,,0,1,0,2026-06-29 10:25:55,2026-07-26 09:55:28,45.00,45.00,0,single stem,[],1,1,,1
630001,დილის ნამი ,Morning Dew,,,180001,/manus-storage/products/img_8456_483e5aa3.webp,,0,1,0,2026-06-29 10:42:00,2026-07-16 16:15:31,85.00,85.00,0,single stem,[],1,1,,1
630002,ვარდისფერი ჰორიზონტი     ,Pink Horizon,,,180001,/manus-storage/products/c5ca5419-8971-4e22-9039-a51e0ae5232a_48581b09.webp,,0,0,1,2026-06-29 10:44:37,2026-07-17 13:49:33,150.00,150.00,0,single stem,[],1,1,1 large rose bloom,1
630003,ვარდების სიმფონია ,Rose Symphony,100 ვარდი,,180001,/manus-storage/products/img_8455_85995c2a.webp,,0,1,0,2026-06-29 10:46:07,2026-07-16 16:15:53,1000.00,1000.00,0,single stem,[],1,1,,1
630004,ფორთოხალი,Orange,5 ტოტი სპრეი ვარდი,,180001,/manus-storage/products/img_8452_92306957.webp,,0,1,0,2026-06-29 10:48:36,2026-07-26 09:55:03,60.00,50.00,0,single stem,[],1,1,,1
630005,ვარდისფერი დესერტი,Pink Dessert,,,180001,/manus-storage/products/img_8441_9067e11c.webp,,0,0,0,2026-06-29 10:50:39,2026-07-17 13:49:37,90.00,90.00,0,single stem,[],1,1,1 large rose bloom,1
630006,ნაყინის ბურთები ,Ice Cream Scoops 🍨,23 ჰოლანდიური პიონი,,180001,/manus-storage/products/img_8440_7c7301de.webp,,0,0,0,2026-06-29 10:53:20,2026-07-17 13:49:38,350.00,350.00,0,single stem,[],1,1,,1
630007,მარშმელოუ,Marshmallow,20 ცალი პიონი,,180001,/manus-storage/products/img_8439_ee56f7b2.webp,,0,0,0,2026-06-29 10:55:43,2026-07-17 13:49:40,300.00,300.00,0,single stem,[],1,1,,1
630008,პატარა ბედნიერება ,Little Happiness,3 ცალი პიონი,,180001,/manus-storage/products/img_8438_940db387.webp,,0,0,0,2026-06-29 10:58:02,2026-07-17 13:49:41,55.00,55.00,0,single stem,[],1,1,,1
630009,განსაკუთრებული,Favorite,,,180001,/manus-storage/products/img_8437_5b453aaf.webp,,0,1,0,2026-06-29 10:59:31,2026-07-16 16:16:59,700.00,700.00,0,single stem,[],1,1,,1
630010,ყვავილების ბალეტი,Floral Ballet,,,180001,/manus-storage/products/img_8432_225ed35d.webp,,0,1,0,2026-06-29 11:01:43,2026-07-16 16:17:08,200.00,200.00,0,single stem,[],1,1,,1
660001,აბრეშუმი,Silk,120 ჰოლანდიური პიონი,,180001,/manus-storage/products/img_8462_22269b79.webp,,0,0,0,2026-06-29 12:27:35,2026-07-17 13:49:47,1800.00,1800.00,0,single stem,[],1,1,,1
